"","date","trips"
"81","6/27/16",34175.8521084417
"82","6/28/16",32804.7240808037
"83","6/29/16",34175.8521084417
"84","6/3/16",30290.9893634675
"85","6/30/16",34632.894784321
"86","6/4/16",33947.330770502
"87","6/5/16",30976.5533772865
"88","6/6/16",33718.8094325624
"89","6/7/16",33947.330770502
"90","6/8/16",27091.6906323122
"91","6/9/16",28462.8186599502
"92","7/1/16",33033.2454187434
"93","7/10/16",33261.7667566831
"94","7/11/16",33261.7667566831
"95","7/12/16",34175.8521084417
"96","7/13/16",35546.9801360796
"97","7/14/16",36689.586825778
"98","7/15/16",38060.7148534159
"99","7/16/16",37603.6721775366
"100","7/17/16",37375.1508395969
"101","7/18/16",37603.6721775366
"102","7/19/16",35546.9801360796
"103","7/2/16",31662.1173911054
"104","7/20/16",34861.4161222607
"105","7/21/16",36689.586825778
"106","7/22/16",38289.2361913556
"107","7/23/16",40117.4068948728
"108","7/24/16",38517.7575292952
"109","7/25/16",37832.1935154762
"110","7/26/16",36689.586825778
"111","7/27/16",37603.6721775366
"112","7/28/16",38746.2788672349
"113","7/29/16",35089.9374602003
"114","7/3/16",32347.6814049244
"115","7/30/16",35775.5014740193
"116","7/31/16",33947.330770502
"117","7/4/16",34175.8521084417
"118","7/5/16",35318.45879814
"119","7/6/16",37832.1935154762
"120","7/7/16",37832.1935154762
"121","7/8/16",34861.4161222607
"122","7/9/16",31205.0747152261
"123","8/1/16",33947.330770502
"124","8/10/16",36689.586825778
"125","8/11/16",37603.6721775366
"126","8/12/16",37832.1935154762
"127","8/13/16",40345.9282328125
"128","8/14/16",39203.3215431142
"129","8/15/16",38517.7575292952
"130","8/16/16",37603.6721775366
"131","8/17/16",36918.1081637176
"132","8/18/16",35775.5014740193
"133","8/19/16",36918.1081637176
"134","8/2/16",33490.2880946227
"135","8/20/16",34861.4161222607
"136","8/21/16",36232.5441498986
"137","8/22/16",32804.7240808037
"138","8/23/16",32576.2027428641
"139","8/24/16",35546.9801360796
"140","8/25/16",35318.45879814
"141","8/26/16",37603.6721775366
"142","8/27/16",36918.1081637176
"143","8/28/16",36689.586825778
"144","8/29/16",37603.6721775366
"145","8/3/16",33261.7667566831
"146","8/30/16",35318.45879814
"147","8/31/16",37146.6295016573
"148","8/4/16",33718.8094325624
"149","8/5/16",34632.894784321
"150","8/6/16",36232.5441498986
"151","8/7/16",35546.9801360796
"152","8/8/16",35775.5014740193
"153","8/9/16",36004.022811959
"154","9/1/16",33718.8094325624
"155","9/10/16",37375.1508395969
"156","9/11/16",34175.8521084417
"157","9/12/16",31890.6387290451
"158","9/13/16",33490.2880946227
"159","9/14/16",36004.022811959
"160","9/15/16",30748.0320393468
"161","9/16/16",30519.5107014071
"162","9/17/16",30976.5533772865
"163","9/18/16",34632.894784321
"164","9/19/16",33033.2454187434
"165","9/2/16",33490.2880946227
"166","9/20/16",34175.8521084417
"167","9/21/16",34632.894784321
"168","9/22/16",34404.3734463814
"169","9/23/16",34404.3734463814
"170","9/24/16",29376.9040117088
"171","9/25/16",28234.2973220105
"172","9/26/16",29148.3826737692
"173","9/27/16",31433.5960531658
"174","9/28/16",28462.8186599502
"175","9/29/16",27548.7333081916
"176","9/3/16",32119.1600669848
"177","9/30/16",26177.6052805536
"178","9/4/16",33033.2454187434
"179","9/5/16",33947.330770502
"180","9/6/16",34404.3734463814
"181","9/7/16",35546.9801360796
"182","9/8/16",36461.0654878383
"183","9/9/16",37832.1935154762
